Temperature,MgCl2_concentration,pH_f,Incubation_time,DNase_I_concentration
4,0.18,5.34,15,0
20,1,6.03,30,0.2
25,2,6.57,45,1
30,2.5,6.66,60,5
33,3,6.8,75,
35,5,6.83,90,
37,7.5,6.88,105,
40,10,6.93,120,
45,15,6.99,135,
50,20,7,150,
,30,7.02,165,
,,7.05,180,
,,7.07,195,
,,7.09,210,
,,7.11,225,
,,7.13,240,
,,7.15,255,
,,7.17,270,
,,7.19,300,
,,7.21,360,
,,7.23,1440,
,,7.25,,
,,7.27,,
,,7.29,,
,,7.31,,
,,7.33,,
,,7.35,,
,,7.37,,
,,7.39,,
,,7.41,,
,,7.43,,
,,8.08,,
,,8.96,,
,,10.3,,
